declancheLevel;gradeName;description
0;Explorateur;Tout voyage commence par une exploration.
1;Endurant;Ton voyage commence à prendre forme tu tiens bien.
2;Obstiné;Tu veux aller au bout, ça se sent.
3;Têtu;D’habitude c’est pas un compliment mais là c’est plus que ça.
4;Maitre de la Routine;Tu es le Yoda des habitudes : sage et constant.
5;Seigneur des Tâches;Ta notoriété commence à faire du bruit.
6;Roi de l’organisation;Tu gères ton quotidien n’a plus de limite.
7;Dominateur des entraves;Tout le monde s’agenouille à ton passage.
8;Ange de l’habitude;Tu voles au dessus des difficultés.
9;Être suprême de la vie quotidienne;La vie quotidienne n’a plus de secret.
10;Dieu du quotidien;On ne peut t’arrêter maintenant, tu nous domines tous.
